,indices,choices,search,bm25,prev_bm25,next_bm25
0,113689,"TIMICIN: No. We've... we've said our good-byes. 
 TIMICIN: Lwaxana... ? 
 LWAXANA: It is the custom for your loved ones to join you at this... resolution, is it not? 
 
 ""Half a Life"", The Next Generation, 1991-02-22",lwaxana,12.436611642753908,0.0,0.0
1,113558,"LWAXANA: I agree. How about letting everybody die when they die. 
 TIMICIN: Lwaxana... 
 LWAXANA: You have a grandson, you said? 
 
 ""Half a Life"", The Next Generation, 1991-02-22",lwaxana,12.436611642753908,0.0,0.0
2,113532,"LWAXANA: I'm not sure. A minute. An hour. 
 TIMICIN: Lwaxana... 
 LWAXANA: Do you want anything... some tea... ? 
 
 ""Half a Life"", The Next Generation, 1991-02-22",lwaxana,12.436611642753908,0.0,0.0
3,55180,"ODO: Marry me, Lwaxana... let me into your light... 
 ODO: Lwaxana... ? 
 LWAXANA: I give myself to you... forever and always. 
 
 ""The Muse"", Deep Space Nine, 1996-02-13",lwaxana,12.436611642753908,8.857817585688393,0.0
4,55060,"ODO: I'm sorry if I made you feel unwelcome... it's just my way... 
 ODO: Lwaxana... ? 
 JAKE: It's Jake... Jake Sisko. Remember me? 
 
 ""The Muse"", Deep Space Nine, 1996-02-13",lwaxana,12.436611642753908,0.0,0.0
5,33572,"ODO: Madame Ambassador... 
 LWAXANA: Lwaxana... 
 ODO: I don't eat... this is not a real mouth... it is an approximation of one... I don't have an esophagus or a stomach or a digestive system... I am not like you... every sixteen hours, I turn into a liquid. 
 
 ""The Forsaken"", Deep Space Nine, 1993-03-04",lwaxana,12.436611642753908,0.0,0.0
6,103489,"LWAXANA: The offer is genuine. I give you my word as a Daughter of the Fifth House of Betazed. 
 RIKER: Lwaxana, don't. 
 LWAXANA: I've made up my mind. 
 
 ""Menage a Troi"", The Next Generation, 1990-03-09",lwaxana,11.560821706011037,0.0,0.0
7,103267,"RIKER: No, Tog! 
 RIKER: Deanna? Lwaxana? 
 LWAXANA: Where are we? 
 
 ""Menage a Troi"", The Next Generation, 1990-03-09",lwaxana,11.426709650288368,0.0,0.0
8,54911,"ODO: Ambassador Troi... 
 LWAXANA: Please... Lwaxana... 
 ODO: I'm sorry... if that's what you prefer. 
 
 ""The Muse"", Deep Space Nine, 1996-02-13",lwaxana,11.426709650288368,0.0,0.0
9,55006,"WORF: I would. 
 ODO: I meant Lwaxana. 
 LWAXANA: I'd love to. Sorry... maybe next time. 
 
 ""The Muse"", Deep Space Nine, 1996-02-13",lwaxana,11.295673463802173,0.0,0.0
10,55168,"ODO: She is as kind as she is beautiful... and I want her to be part of my life from this day on. 
 ODO: Marry me, Lwaxana... 
 JEYAL: Am I the only one here who finds this little more than a pale declaration of love? 
 
 ""The Muse"", Deep Space Nine, 1996-02-13",lwaxana,11.16760852835599,0.0,0.0
11,113418,"TIMICIN: I... wish I could. But I have to say ""no"". 
 TIMICIN: Goodnight, Lwaxana. 
 PICARD : Captain's Log, Stardate 44807.5. The Enterprise has arrived at the Praxillus system, where we will conduct Doctor Timicin's helium ignition test. 
 
 ""Half a Life"", The Next Generation, 1991-02-22",lwaxana,11.042414917010138,0.0,0.0
12,106431,"TROI: Is he there alone? 
 COMPUTER: He is with Lwaxana Troi. 
 POET: To all the creatures within us! 
 
 ""Cost of Living"", The Next Generation, 1992-02-03",lwaxana,10.346484156374915,0.0,0.0
13,103179,"PICARD: Uh... perhaps later, Lwaxana. Data and I were just about to show Reittan Grax the new door mechanisms on the aft Turbolifts. Would you excuse us? 
 TOG: Lwaxana Troi, I desire you. 
 LWAXANA: Wha... what? 
 
 ""Menage a Troi"", The Next Generation, 1990-03-09",lwaxana,10.133599455872359,4.686016136252983,0.0
14,33568,"ODO: Madame ambassador... 
 LWAXANA: Lwaxana... Upper pylon three. 
 LWAXANA: I've always wanted to see an upper pylon. 
 
 ""The Forsaken"", Deep Space Nine, 1993-03-04",lwaxana,10.133599455872359,0.0,0.0
15,103527,"PICARD: That can be arranged. Mister Worf, arm all phaser banks and photon torpedoes. If my beloved is not in my arms in ten seconds, throw everything you've got at the Krayton. 
 TOG: But you'll destroy Lwaxana! 
 PICARD: 'Tis better to have loved and lost than never to have loved at all... Eight, seven... 
 
 ""Menage a Troi"", The Next Generation, 1990-03-09",lwaxana,10.030408819077548,0.0,0.0
16,33525,"ODO: Nossir, this one's named Lwaxana. 
 SISKO: Lwaxana Troi... the ambassador... ? 
 ODO: That's her. There was a minor incident at the bar that I helped her with... and now... she's... grateful. 
 
 ""The Forsaken"", Deep Space Nine, 1993-03-04",lwaxana,9.929298581983371,9.544452127582273,0.0
17,55171,"JEYAL: He could be talking about any woman. 
 ODO: Lwaxana isn't just any woman. 
 ODO: Not to me. 
 
 ""The Muse"", Deep Space Nine, 1996-02-13",lwaxana,9.830206458853851,0.0,0.0
