Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,index,line,character,quote,scene,location,view,episode,date,series,file,sentiment
77000,77000,77000,77000,105,PICARD,What about life signs?,7    INT. BRIDGE,BRIDGE,INT.,Force of Nature,1993-09-17,The Next Generation,261.txt,0.0
77001,77001,77001,77001,106,DATA,"Life support is also functioning, at low levels. There are approximately four-hundred fifty Ferengi on board. That is a standard complement for a vessel of this class.",7    INT. BRIDGE,BRIDGE,INT.,Force of Nature,1993-09-17,The Next Generation,261.txt,0.0
77002,77002,77002,77002,107,PICARD,"Mister Worf, open a hailing frequency.",7    INT. BRIDGE,BRIDGE,INT.,Force of Nature,1993-09-17,The Next Generation,261.txt,0.0
77003,77003,77003,77003,108,WORF,"No response on any channel, sir.",7    INT. BRIDGE,BRIDGE,INT.,Force of Nature,1993-09-17,The Next Generation,261.txt,0.0
77004,77004,77004,77004,109,GEORDI,"I'm not reading any subspace emissions from their ship at all, sir. It looks like every one of their field coils has been overloaded.",7    INT. BRIDGE,BRIDGE,INT.,Force of Nature,1993-09-17,The Next Generation,261.txt,0.0
77005,77005,77005,77005,110,RIKER,That would explain why they didn't respond to our hails...,7    INT. BRIDGE,BRIDGE,INT.,Force of Nature,1993-09-17,The Next Generation,261.txt,0.0
77006,77006,77006,77006,111,DATA,It would also explain the failure of their warp drive.,7    INT. BRIDGE,BRIDGE,INT.,Force of Nature,1993-09-17,The Next Generation,261.txt,0.0
77007,77007,77007,77007,112,GEORDI,"Sir, the Feregni sensors are still functioning. I could modify one of our deflector emitters to transmit old-style delta waves... if I modulate that with a com signal, the Ferengi should be able to pick it up.",7    INT. BRIDGE,BRIDGE,INT.,Force of Nature,1993-09-17,The Next Generation,261.txt,0.0
77008,77008,77008,77008,113,PICARD,Make it so.,7    INT. BRIDGE,BRIDGE,INT.,Force of Nature,1993-09-17,The Next Generation,261.txt,0.0
77009,77009,77009,77009,114,RIKER,"Well, if they did hijack the Fleming, they certainly didn't get very far with the cargo.",7    INT. BRIDGE,BRIDGE,INT.,Force of Nature,1993-09-17,The Next Generation,261.txt,0.0
77010,77010,77010,77010,115,PICARD,"Mister Worf, have tractor beams standing by... we may have to take them under tow... Helm, bring us within tractor range...",7    INT. BRIDGE,BRIDGE,INT.,Force of Nature,1993-09-17,The Next Generation,261.txt,0.0
77011,77011,77011,77011,116,WORF,"Captain, I am picking up power emissions from the Ferengi ship... They are locking weapons!",7    INT. BRIDGE,BRIDGE,INT.,Force of Nature,1993-09-17,The Next Generation,261.txt,0.0
77012,77012,77012,77012,117,PICARD,Raise shields --,7    INT. BRIDGE,BRIDGE,INT.,Force of Nature,1993-09-17,The Next Generation,261.txt,0.0
77013,77013,77013,77013,118,RIKER,Ready phasers. Prepare to return fire.,10   INT. BRIDGE - CONTINUOUS,BRIDG,INT.,Force of Nature,1993-09-17,The Next Generation,261.txt,0.0
77014,77014,77014,77014,119,PICARD,Target their weapons array only.,10   INT. BRIDGE - CONTINUOUS,BRIDG,INT.,Force of Nature,1993-09-17,The Next Generation,261.txt,0.0
77015,77015,77015,77015,120,WORF,Phasers locked.,10   INT. BRIDGE - CONTINUOUS,BRIDG,INT.,Force of Nature,1993-09-17,The Next Generation,261.txt,0.0
77016,77016,77016,77016,121,PICARD,Fire.,10   INT. BRIDGE - CONTINUOUS,BRIDG,INT.,Force of Nature,1993-09-17,The Next Generation,261.txt,0.0
77017,77017,77017,77017,122,DATA,Direct hit. Their weapon systems are down.,12   INT. BRIDGE,BRIDGE,INT.,Force of Nature,1993-09-17,The Next Generation,261.txt,0.0
77018,77018,77018,77018,123,PICARD,Damage report.,12   INT. BRIDGE,BRIDGE,INT.,Force of Nature,1993-09-17,The Next Generation,261.txt,0.0
77019,77019,77019,77019,124,WORF,"We sustained minimal damage on decks five and seven, sir.",12   INT. BRIDGE,BRIDGE,INT.,Force of Nature,1993-09-17,The Next Generation,261.txt,0.0
